"houjin_bangou","code","name","name_full","url"
"8010001002549","332","光生館","株式会社光生館","https://www.koseikan.co.jp"
"3011301002326","333","佼成出版社","株式会社佼成出版社","https://kosei-shuppan.co.jp"
"4010001002610","334","光文社","株式会社光文社","https://www.kobunsha.com"
"6010001016377","335","弘文堂","株式会社弘文堂","https://www.koubundou.co.jp"
"9011401002162","336","国書刊行会","株式会社国書刊行会","https://www.kokusho.co.jp/np/index.html"
"1010001170567","337","国土社","株式会社国土社","https://www.kokudosha.co.jp"
"9011101007148","338","小峰書店","株式会社小峰書店","https://www.komineshoten.co.jp"
"9010001002861","339","コロナ社","株式会社コロナ社","https://www.coronasha.co.jp"
"5010001000877","341","ごま書房新社","株式会社ごま書房新社","https://gomashobo.com"
"3011001029520","87728","幻冬舎","株式会社幻冬舎","https://www.gentosha.co.jp"
"3011001029520","344","幻冬舎","株式会社幻冬舎","https://www.gentosha.co.jp"
"1011101007477","378","さ・え・ら書房","株式会社さ，え，ら書房","https://www.saela.co.jp"
"6010901004836","382","産業能率大学出版部","株式会社産業能率大学出版部","https://www.sannopub.co.jp"
"2010401025989","89353","扶桑社","株式会社扶桑社","http://www.fusosha.co.jp"
"2010401025989","594","扶桑社","株式会社扶桑社","http://www.fusosha.co.jp"
"2010401025989","383","扶桑社","株式会社扶桑社","http://www.fusosha.co.jp"
"4011001059905","384","三修社","株式会社三修社","https://www.sanshusha.co.jp"
"6010001016831","385","三省堂","株式会社三省堂","https://www.sanseido-publ.co.jp"
"9010001003629","388","柴田書店","株式会社柴田書店","https://www.shibatashoten.co.jp"
"9010001094123","389","清水書院","株式会社清水書院","https://www.shimizushoin.co.jp"
"1010001047369","391","主婦と生活社","株式会社主婦と生活社","https://www.shufu.co.jp"
"5010001018944","393","春秋社","株式会社春秋社","https://www.shunjusha.co.jp"
"4010001047399","394","春陽堂書店","株式会社春陽堂書店","https://www.shunyodo.co.jp"
"3011101043883","395","彰国社","株式会社彰国社","https://www.shokokusha.co.jp"
"8010001019089","396","祥伝社","株式会社祥伝社","https://www.shodensha.co.jp"
"7010001204393","398","昭文社","株式会社昭文社","https://www.mapple.co.jp"
"6010001019999","401","シンコーミュージック・エンタテイメント","株式会社シンコーミュージック・エンタテイメント","https://www.shinko-music.co.jp"
"7120001023849","402","新興出版社","株式会社新興出版社啓林館","https://www.shinko-keirin.co.jp/shinko/"
"2010001003577","403","新書館","株式会社新書館","https://www.shinshokan.co.jp"
"4010501005336","405","新星出版社","株式会社新星出版社","https://www.shin-sei.co.jp/np/index.html"
"2011001011545","406","新日本出版社","株式会社新日本出版社","https://www.shinnihon-net.co.jp"
"2010001018534","407","実教出版","實教出版株式会社","https://www.jikkyo.co.jp"
"4010001046252","408","実業之日本社","株式会社實業之日本社","https://www.j-n.co.jp"
"4130001014767","409","人文書院","株式会社人文書院","http://www.jimbunshoin.co.jp"
"7010001020270","410","数研出版","数研出版株式会社","https://www.chart.co.jp"
"1010001020227","411","駿河台出版社","株式会社駿河台出版社","https://www.e-surugadai.com"
NA,"412","聖教新聞社",NA,"https://www.seikyoonline.com"
"2011101010901","413","青春出版社","株式会社青春出版社","http://www.seishun.co.jp"
"5010001004102","414","誠信書房","株式会社誠信書房","https://www.seishinshobo.co.jp"
"8011101037724","415","成美堂出版","成美堂出版株式会社","https://www.seibidoshuppan.co.jp"
"9010001004123","416","誠文堂新光社","株式会社誠文堂新光社","https://www.seibundo-shinkosha.net"
"5010001004143","417","青林書院","株式会社青林書院","http://www.seirin.co.jp"
"3010001208860","418","世界文化社","株式会社世界文化社","https://www.sekaibunka.com"
"2011101010959","419","税務経理協会","株式会社税務経理協会","http://www.zeikei.co.jp"
"8010001021169","420","集英社クリエイティブ","株式会社集英社クリエイティブ",NA
"3120001082865","422","創元社","株式会社創元社","https://www.sogensha.co.jp"
"2120001044775","424","増進堂・受験研究社","株式会社増進堂","https://www.zoshindo.co.jp"
"9010001046231","426","自由国民社","株式会社自由國民社","https://www.jiyu.co.jp"
"7120001065882","433","清文社","株式会社清文社","https://www.skattsei.co.jp"
"9013301036463","434","彗星社","株式会社彗星社","https://suiseisha.jp"
"1011101070178","434","みらいパブリッシング","株式会社みらいパブリッシング","https://miraipub.jp"
"6010001021872","469","大修館書店","株式会社大修館書店","https://www.taishukan.co.jp"
"3013301047482","471","高橋書店","株式会社高橋書店","https://www.takahashishoten.co.jp"
